|Description|new_summary|entities
2355|TRUMP: NOT ALLOWING STOCK BUYBACKS FROM DEFENCE COMPANIES ANYMORE|Trump announced a new policy prohibiting stock buybacks from defense companies, signaling a significant shift in corporate financial practices in that sector.|
2356|TRUMP AT DAVOS: WE WANT A PIECE OF ICE FOR OUR OWN PROTECTION  TRUMP AT DAVOS: YOU CAN SAY YES OR YOU CAN SAY NO AND WE WILL REMEMBER|Trump's statements at Davos indicate a desire for stronger protectionist measures, suggesting a more aggressive stance in international relations.|
2357|TRUMP: THEY HAVE A CHOICE ON GREENLAND  YOU CAN SAY YES OR YOU CAN SAY NO AND WE WILL REMEMBER|Trump emphasizes that a choice regarding Greenland is crucial and will be memorable.|
2358|TRUMP: WHAT THE HELL HAPPENED TO MACRON WITH THOSE BEAUTIFUL SUNGLASSES|Trump humorously questions Macron's choice of sunglasses, highlighting a lighthearted moment between the two leaders.|
2359|*TRUMP MOCKS FRENCH PRESIDENT MACRON FOR WEARING SUNGLASSES|Trump has ridiculed French President Macron for his choice to wear sunglasses, highlighting a potentially humorous cultural exchange between the leaders.|
2360|TRUMP AT DAVOS SAYS HE THREATENED MACRON WITH ADDITIONAL TARIFFS OVER DRUG PRICES|During the Davos Summit, Trump stated that he threatened French President Macron with additional tariffs regarding drug pricing.|
2361|TRUMP AT DAVOS: HAVE SIGNED ORDER BANNING LARGE INSTITUTIONAL INVESTORS FROM BUYING HOMES|Former President Trump announced at the Davos conference that he has signed an order prohibiting large institutional investors from purchasing homes.|
2362|TRUMP: US WON'T BECOME A NATION OF RENTERS|Trump asserts that the US will not transition into a nation of renters, emphasizing homeownership.|
2363|🚨 TRUMP: CALLS ON CONGRESS TO CAP CREDIT CARD INTEREST RATES AT 10 PCT FOR ONE YEAR|Trump is urging Congress to set a temporary cap on credit card interest rates at 10% for the next year, which could impact consumer finance.|
2364|TRUMP: CONGRESS WORKING ON CRYPTO MARKET STRUCTURE REGULATION|Trump announces that Congress is working on establishing regulations for the crypto market.|
2365|TRUMP: HOPE TO SIGN BILL ON CRYPTO SOON|Trump expresses optimism about signing a new bill related to cryptocurrency soon.|CRYPTO
2366|TRUMP: CRYPTO POLITICALLY POPULAR  NEED TO BLOCK CHINA'S HOLD|Trump emphasizes the political importance of cryptocurrency and advocates for measures to curb China's influence in the sector.|
2367|TRUMP: ANNOUNCING NEW FED CHAIR IN NOT TOO DISTANT FUTURE  TRUMP SAYS HIS FED CHAIR WILL BE A 'HE'|Former President Trump announced that he will be appointing a new Federal Reserve Chair soon, specifying that the nominee will be male.|
2368|TRUMP SAYS THE PROBLEM IS THEY CHANGE ONCE THEY GET THE JOB|Donald Trump highlights a concern regarding individuals altering their behavior once they secure a position.|
2369|TRUMP: POWELL VERY LATE ON INTEREST RATES|Trump criticized Powell for being delayed in addressing interest rates, hinting at potential economic implications.|
2370|🚨 *EU DELAYS VOTE ON RATIFYING TRADE AGREEMENT WITH US|The European Union has postponed its vote on ratifying a trade agreement with the United States, indicating potential delays in trade negotiations.|
2371|TRUMP: WE SHOULD BE PAYING THE LOWEST INTEREST RATE OUT OF ANY COUNTRY IN THE WORLD  WITHOUT US YOU DON’T HAVE A COUNTRY|Former President Trump advocates for the U.S. to maintain the lowest interest rates globally, emphasizing the nation's economic position.|
2372|TRUMP: WITHOUT THE U.S.   COUNTRIES WOULDN’T BE MAKING ANYTHING|Trump asserts that the U.S. plays a crucial role in global production, implying that other countries rely heavily on American resources and influence.|
2373|TRUMP: THE US IS KEEPING THE WHOLE WORLD AFLOAT|Trump claims that the US plays a crucial role in supporting the global economy.|
2374|*TRUMP: GOOD NEWS USED TO SEND STOCKS UP  HOW IT SHOULD BE    *TRUMP LAMENTS THAT STOCKS CRASH ON GOOD ECONOMIC NEWS|Trump notes a paradox where good news typically boosts stocks, but highlights that positive economic indicators are leading to a stock market crash.|
2375|TRUMP: NO MORE PAYMENTS TO SANCTUARY CITIES|Former President Trump has announced a proposal to cease payments to sanctuary cities, emphasizing a potential shift in federal funding policy.|
2376|TRUMP: WE’RE GOING TO START ATTACKING DRUGS ON LAND  WE’LL KNOCK IT ALL OUT|Trump announced plans to intensify efforts against drug-related issues on land, signaling a strong stance on combating drug trade.|
2377|TRUMP ENDS REMARKS AT DAVOS|Trump has concluded his remarks at the Davos event, which may have implications for global markets and political discussions.|
2378|$TSLA - TESLA SAYS NO PLANS TO REDUCE VOLUMES OR STAFF AT BERLIN PLANT|Tesla announced that it has no plans to reduce volumes or staff at its Berlin plant, signaling stability in its operations there.|$TSLA, TESLA
2379|TRUMP: GROWTH IS THE WAY OUT OF OUR DEBT  TRUMP: WE ARE CUTTING EXPENSES|Donald Trump emphasizes that economic growth is essential for overcoming national debt and highlights initiatives aimed at reducing government expenses.|
2380|TRUMP IN DAVOS FIRESIDE CHAT: U.S. GROWTH WILL OFFSET DEBT|During a fireside chat in Davos, Trump asserted that U.S. economic growth will counterbalance national debt levels.|
2381|TRUMP: U.S. COULD BALANCE BUDGET BY CUTTING FRAUD|Trump suggests that the U.S. can achieve a balanced budget by implementing measures to cut fraud. This statement reflects a potential focus on fiscal policy aimed at budgetary improvements.|
2382|TRUMP: ALWAYS HAD GOOD RELATIONSHIP WITH CHINA'S XI|Trump emphasizes his history of maintaining a positive relationship with China's Xi Jinping.|
2383|*US PENDING HOME SALES FALL 9.3% M/M  MOST SINCE '20; EST. -0.3%|Pending home sales in the US have decreased by 9.3% month-over-month, marking the largest decline since 2020, significantly worse than the estimated drop of 0.3%.|
2384|TRUMP: GREENLAND COSTING DENMARK HUNDREDS OF MILLIONS TO RUN IT  TRUMP: IT'S VERY IMPORTANT THAT WE USE GREENLAND FOR NATIONAL  INTERNATIONAL SECURITY|Trump has stated that Greenland is costing Denmark significant amounts in operations and emphasized its importance for national and international security.|
2385|TRUMP: U.S. BUYING GREENLAND WOULD BE A GREAT BLOCK FOR EUROPE|Trump suggests that the U.S. purchasing Greenland could strategically benefit its position against Europe.|
2386|🚨 GERMAN GOVERNMENT REJECTS JOINING TRUMP'S BOARD OF PEACE|The German government has decided against participating in Trump's Board of Peace initiative, signaling a clear stance on the matter.|
2387|TRUMP: WE'RE REASONABLY CLOSE TO DEAL ON UKRAINE  TRUMP: IF THEY DON'T THEY'RE STUPID|Trump indicates that a deal regarding Ukraine is close, suggesting optimism on negotiations. However, he also implies criticism towards those who fail to reach an agreement.|
2388|*TRUMP ENDS Q&A AT DAVOS|Trump concluded a Q&A session at the Davos meeting, indicating a significant point in discussions.|
2389|Ken Griffin: 'Unfortunately  the most recent research indicates the tax been borne by both American consumers and by American businesses. So the money raised by Washington in the tariffs has really come at the expense of the American people'|Ken Griffin highlights that recent research suggests tariffs have negatively impacted both American consumers and businesses, indicating a financial burden on the American populace.|
2390|▻|The tweet does not contain specific information about companies, economic events, or market trends.|
2391|🚨 DENMARK FOREIGN MINISTER: THE U.S. PRESIDENT'S AMBITION IS INTACT|The Danish Foreign Minister stated that the ambition of the U.S. President remains intact, indicating a steady political climate.|
2392|DENMARK FOREIGN MINISTER: POSITIVE THAT HE DOES NOT PLAN TO USE FORCE|Danish Foreign Minister expresses a positive stance by confirming no plans to use force.|
2393|DENMARK FOREIGN MINISTER: WE'LL MAINTAIN THE DIPLOMATIC TRACK REGARDING GREENLAND|The Denmark Foreign Minister has confirmed the country's commitment to maintaining diplomatic relations regarding Greenland.|
2394|DENMARK FOREIGN MINISTER: WE ARE NOT NEGOTIATING TO COMPROMISE ON OUR FUNDAMENTAL PRINCIPLES|The Foreign Minister of Denmark asserted that the country will uphold its fundamental principles and is not open to compromising them during negotiations.|
2395|TRUMP ADVISER DAVID SACKS SAYS HE WORRIES U.S. COULD LOSE AI RACE DUE TO 'SELF-INFLICTED INJURY'|David Sacks, an adviser to Trump, expresses concerns that the U.S. may fall behind in the AI race due to self-inflicted issues.|
2396|**GRAHAM TO EUROPE: “SHUT UP” AND SELL GREENLAND**  Sen. Lindsey Graham said President Trump convinced him the U.S. needs Greenland for national security. Speaking after Trump’s Davos address  Graham said the U.S. will not take it by force but urged European leaders to negotiate its sale  calling it a move that would strengthen NATO.  He dismissed European concerns  telling leaders  “No  you shut up. I’m not going to tell him  you go tell him.”|Senator Lindsey Graham stated that the U.S. should negotiate the purchase of Greenland for national security reasons, following President Trump’s remarks at Davos, emphasizing that this would fortify NATO.|
2397|**NEWSOM SLAMS TRUMP’S DAVOS SPEECH AS “INSIGNIFICANT”**  California Gov. Gavin Newsom called President Trump’s World Economic Forum address “remarkably boring” and “remarkably insignificant ” saying it offered nothing new for Americans.  He dismissed Greenland threats  noting “Trump was never going to invade ” and said the speech reflected “deep anxiety” among business leaders in Davos.|California Governor Gavin Newsom criticized President Trump's speech at the World Economic Forum, calling it 'insignificant' and 'boring', while suggesting it indicated anxiety among business leaders.|
2398|SAUDI ARABIA  TURKEY  EGYPT  JORDAN  INDONESIA  PAKISTAN  QATAR ACCEPT INVITATION TO JOIN TRUMP'S BOARD OF PEACE - JOINT STATEMENT|Several Middle Eastern countries, including Saudi Arabia, Turkey, and Qatar, have accepted an invitation to join a peace initiative led by Donald Trump. This gathering may signal a shift towards collaborative efforts in the region.|
2399|EU'S KALLAS:  EU WILL MOVE FORWARD ON A SECURITY AND DEFENCE PARTNERSHIP WITH INDIA|EU's Kallas announced plans for a security and defense partnership with India, highlighting a strategic collaboration between the two regions.|
2400|*JAPANESE AUTOMAKERS TO SHARE CHIP DATA AS SUPPLY RISKS GROW: NIKKEI|Japanese automakers are collaborating to share chip data due to increasing supply risks, as reported by Nikkei.|Japanese Automakers
2401|$NFLX - EU EXPECTED TO PROBE NETFLIX  PARAMOUNT BIDS IN PARALLEL|The European Union is anticipated to investigate the bids made by Netflix and Paramount. This scrutiny could have implications for both companies' operations in the region.|Netflix,Paramount, NFLX
2402|**TRADERS SHOULD HEDGE ‘UNEXPECTED’ TARIFF RULING  JEFFERIES SAYS**  Jefferies strategists warned investors to hedge ahead of the Supreme Court’s ruling on Trump-era tariffs  as an unexpected “upheld” decision could trigger market volatility.  They suggested using put options  volatility-linked instruments  or defensive sectors like food and staples as protection. Markets currently expect the court to strike down the levies  but a surprise ruling could reignite trade tensions  especially amid U.S.-Europe disputes over Greenland.|Jefferies advises traders to hedge against potential market volatility from an unexpected Supreme Court ruling on Trump-era tariffs, recommending put options and defensive sectors for protection.|Jefferies
2403|🚨 DENMARK REJECTS TRUMP’S DEMAND TO NEGOTIATE TAKEOVER OF GREENLAND - FOREIGN MINISTER|Denmark has officially rejected former President Trump's demand to negotiate a takeover of Greenland, according to the foreign minister. This decision highlights the ongoing geopolitical tensions surrounding the Arctic region.|
2404|🇫🇷EL**YSEE DENIES MACRON RAISED MEDICINE PRICES  **The Élysée Palace clarified that President Macron does not set drug prices  which are regulated by France’s social security system and have remained stable. “Anyone who’s been to a French pharmacy knows this ” the statement said.|The Élysée Palace reiterated that President Macron does not control drug prices in France, which are regulated by the social security system, ensuring stability.|
2405|TRUMP: MILITARY IS NOT ON THE TABLE IN GREENLAND  TRUMP: THAT WILL NOT BE NECESSARY|Trump stated that military action is not considered necessary in Greenland, signaling a diplomatic stance regarding the region.|
2406|*EUROPEAN GAS BENCHMARK TOPS €40/MWH FOR FIRST TIME SINCE JUNE|The European gas benchmark has surpassed €40/MWH, marking its highest level since June. This price surge indicates potentially rising energy costs in the region.|gas
2407|🚨 U.S. SUPREME COURT APPEARS LIKELY TO DENY TRUMP'S REQUEST TO IMMEDIATELY FIRE FEDERAL RESERVE GOVERNOR LISA COOK|The U.S. Supreme Court is expected to deny former President Trump's request to fire Federal Reserve Governor Lisa Cook, indicating a strong lead for judicial integrity in appointments.|
2408|HASSETT SAYS MIGHT BE LOOKING AT 2 GDP QUARTERS NORTH OF 5%|HASSETT suggests the economy may see two consecutive quarters of GDP growth exceeding 5%. This positive outlook indicates strong economic performance ahead.|
2409|HASSETT SAYS HE DOESN’T THINK US IS PUSHING ALLIES CLOSER TO CHINA|HASSETT expresses doubts about the US's efforts to unite its allies against China.|
2410|NASDAQ TURNS NEGATIVE  LAST DOWN 0.06%|The NASDAQ index has turned negative, with a decline of 0.06%. This marks a slight setback in the market's performance.|
2411|**RUBIO: U.S. WANTS A STRONG  NOT WEAK  EUROPE**  Secretary of State Marco Rubio said the U.S. needs strong European allies  not “weakened” ones  warning that Europe must change course or risk self-destruction. His remarks followed President Trump’s criticism of Europe and warning over Greenland.|Secretary of State Marco Rubio emphasized the importance of strong European allies for the U.S., cautioning that a weakened Europe could lead to self-destruction. His comments followed critical remarks from President Trump regarding Europe.|
2412|FED'S COOK: I WILL UPHOLD INDEPENDENCE AS LONG AS I'M AT THE FED|Federal Reserve member Cook emphasizes the importance of maintaining independence within the Federal Reserve during her tenure.|
2413|TRUMP ADMINISTRATION STARTS IMMIGRATION OPERATION IN MAINE-NYT|The Trump administration has initiated an immigration operation in Maine, according to the New York Times. This move signals a continued focus on immigration policy amidst broader national discussions.|
2414|**BITCOIN WIPES OUT 2026 GAINS**  Bitcoin has erased all gains made since the start of 2026 as investors retreat from risk. After rising as much as 12% earlier  the cryptocurrency fell to around $87 000.  Nearly $490 million flowed out of U.S.-listed Bitcoin ETFs in one day  signaling weakening confidence. Analysts warn Bitcoin could soon test key support between $80 000 and $84 000 amid geopolitical tensions and market volatility.|Bitcoin has erased all gains since the start of 2026, dropping to around $87,000 as nearly $490 million exited U.S.-listed Bitcoin ETFs, pointing to declining investor confidence amid ongoing geopolitical tensions.|BTC, Bitcoin
2415|"TRANSPORTATION SECURITY ADMINISTRATION HEAD SAYS 6% OF AIR TRAVELERS ARE NOT SHOWING ""REAL ID"" TO BOARD FLIGHTS AS AGENCY PREPARES TO CHARGE $45 FEE STARTING FEB. 1 -- HOUSE HEARING"|The head of the Transportation Security Administration reports that 6% of air travelers are not presenting the required 'Real ID' for boarding, coinciding with an announcement of a new $45 fee starting February 1.|
2416|WHITE HOUSE: TRUMP MEETING WITH NATO'S RUTTE TODAY  WHITE HOUSE: TRUMP WILL DISCUSS GREENLAND WITH NATO'S RUTTE|President Trump is set to meet with NATO's Rutte today to discuss matters concerning Greenland, as announced by the White House.|
2417|TRUMP ON GREENLAND: COULD SEE PRICE THAT COULD BE REASONABLE  TRUMP ON GREENLAND: I HOPE THAT IT'S TRUE THAT NATO WOULD DEFEND U.S.|Trump discussed the potential price for Greenland, suggesting it could be reasonable, and expressed hope in NATO's support for the U.S.|
2418|TRUMP: RUTTE’S STATEMENT WAS NICE BUT U.S. STILL NEEDS GREENLAND|President Trump commented on Rutte's positive statement, emphasizing the U.S.'s persistent interest in Greenland.|
2419|ITALY'S MELONI SAYS SHE CAN'T JOIN TRUMP'S BOARD OF PEACE IMMEDIATELY  NEEDS FURTHER TIME TO REVIEW IT|Italy's Prime Minister Meloni has indicated that she cannot immediately join Trump's Board of Peace, citing the need for more time to consider the proposal.|
2420|**TRUMP: DENMARK MUST TELL ME “TO MY FACE” ON GREENLAND**  President Trump said Denmark’s foreign minister must personally tell him if he rejects talks on Greenland. “I don’t like getting it secondhand ” Trump said.  He reiterated he is seeking immediate negotiations to acquire Greenland and said he hopes NATO allies would defend the U.S.  noting  “I hope that’s true.”|President Trump emphasized the need for Denmark’s foreign minister to communicate directly about Greenland acquisition talks, while expressing hope in NATO allies' support for the U.S.|
2421|*ANTHROPIC’S REVENUE RUN RATE TOPPED $9 BILLION AT END OF 2025|Anthropic's revenue run rate has exceeded $9 billion as of the end of 2025, indicating strong financial performance.|Anthropic
2422|TRUMP: WE HAVE FORMED FRAMEWORK OF A FUTURE DEAL WITH RESPECT TO GREENLAND|Trump announced the formation of a framework for a future deal pertaining to Greenland, emphasizing diplomatic engagement.|
2423|🚨 *TRUMP: WILL NOT IMPOSE FEB 1 TARIFFS DUE TO GREENLAND DEAL|Trump has announced that he will not impose tariffs on February 1 due to a deal involving Greenland.|
2424|🚨 TRUMP: BASED UPON THIS UNDERSTANDING  I WILL NOT BE IMPOSING TARIFFS THAT WERE SCHEDULED TO GO INTO EFFECT ON FEBRUARY 1ST   TRUMP: SAYS AFTER RUTTE MEETING: WE HAVE FORMED FRAMEWORK OF A FUTURE DEAL WITH RESPECT TO GREENLAND|Trump announced that he will not impose scheduled tariffs following a meeting with Rutte, indicating a framework for a future deal regarding Greenland.|
2425|**🚨TRUMP: WILL NOT IMPOSE FEB 1 TARIFFS DUE TO GREENLAND DEAL ** President Trump said a productive meeting with NATO Secretary General Mark Rutte created a framework for a future deal on Greenland and the Arctic that would benefit the U.S. and NATO. As a result  he will not impose tariffs scheduled for February 1.  Further talks are underway on the “Golden Dome” and Greenland. Vice President JD Vance  Secretary of State Marco Rubio  and Special Envoy Steve Witkoff will lead negotiations and report directly to Trump.|President Trump announced he will not impose tariffs set for February 1 due to a promising meeting with NATO Secretary General Mark Rutte, paving the way for future discussions on Greenland and the Arctic.|
2426|U.S. STOCKS SHARPLY EXTEND GAINS AFTER TRUMP SAYS FRAMEWORK FOR FUTURE DEAL WITH RESPECT TO GREENLND REACHED ; S&P 500 LAST UP 1.2%|U.S. stocks, particularly the S&P 500, have continued to rise sharply, increasing by 1.2% after Trump announced a framework for a future deal regarding Greenland.|S&P 500
2427|*APPLE TO REVAMP SIRI AS ITS FIRST CHATBOT IN SECOND HALF OF ’26|Apple is set to revamp Siri, marking its entry into the chatbot space in the second half of 2026.|AAPL, Apple
2428|**EMERGENCY EU LEADERS SUMMIT WILL GO AHEAD AS PLANNED ON THURSDAY- SPOKESPERSON**  European Union leaders will proceed with an emergency summit on Thursday even after U.S. President Donald Trump rowed back on his threats of tariffs against some countries over Greenland  a council spokesperson said on Wednesday.|EU leaders are set to hold an emergency summit on Thursday, despite U.S. President Donald Trump's recent retreat from tariff threats against certain countries regarding Greenland.|
2429|$AAPL - APPLE DEVELOPING AI WEARABLE PIN - THE INFORMATION|Apple is in the process of developing an AI wearable pin, according to The Information.|AAPL, Apple
2430|SWEDISH FOREIGN MINISTER ON X: GOOD THAT TRUMP HAS NOW BACKED AWAY FROM TARIFFS FOR THOSE WHO HAVE SUPPORTED DENMARK AND GREENLAND   SWEDISH FOREIGN MINISTER ON X: IT APPEARS THAT OUR WORK TOGETHER WITH OUR ALLIES HAS HAD AN IMPACT|The Swedish Foreign Minister praised Trump's decision to back away from tariffs related to Denmark and Greenland, indicating that collaborative efforts with allies have been effective.|
2431|DENMARK FOREIGN MINISTER:  THE DAY ENDS BETTER THAN IT STARTED; POSITIVE THAT TRUMP SAYS HE WILL END THIS TRADE WAR|Denmark's Foreign Minister expresses optimism as the day concludes, highlighting Trump's intent to end the trade war as a positive development.|
2432|DENMARK FOREIGN MINISTER:  IF WHAT IS HAPPENING TODAY MEANS WE CAN RETURN TO MORE NORMAL CHANNELS THAN TRUTH SOCIAL THEN THAT IS GOOD|The Denmark Foreign Minister expressed that if current events lead to a return to more conventional communication methods rather than using Truth Social, it would be a positive development.|
2433|**GREENLAND DEAL BOOSTS MARKET ODDS**  Trump halted Feb. 1 tariffs after talks with NATO on a Greenland deal. Prediction markets now put the odds of a Greenland purchase at 41%  with negotiations led by JD Vance  Marco Rubio  and Steve Witkoff. https://kalshi.com/markets/kxgreenland/greenland-purchase/kxgreenland-29?utm_source=walterbloomberg|The negotiation talks regarding the Greenland deal, led by notable figures including Trump, JD Vance, and Marco Rubio, have increased market predictions for a potential purchase, now estimated at 41%. The cessation of tariffs suggests a positive shift in negotiations.|
2434|🚨 TRUMP SAYS IT LOOKS LIKE WE HAVE CONCEPT OF DEAL|Trump indicated the potential for a new deal, suggesting optimism for negotiations.|
2435|🚨 TRUMP SAYS OUTLINES OF GREENLAND DEAL IS EVERYTHING WE WANTED|Trump indicates that the outlines of a deal involving Greenland meet all expectations. This statement suggests positive developments regarding potential negotiations.|
2436|🚨 TRUMP SAYS IT’S A DEAL THAT EVERYONE IS HAPPY WITH|Trump announced a deal that aims to bring satisfaction to all parties involved.|
2437|TRUMP ON GREENLAND: CONCEPT OF A DEAL -CNBC INTERVIEW|Trump discussed a potential deal regarding Greenland in a recent CNBC interview.|
2438|TRUMP ON GREENLAND: WE WILL EXPLAIN DEAL DOWN THE LINE|Trump hinted at a future explanation regarding a deal related to Greenland, potentially signaling strategic interests in the region.|
2439|TRUMP ON GREENLAND: DEAL WILL LAST FOREVER|Trump asserts that the deal regarding Greenland will be everlasting, emphasizing its importance and permanence.|
2440|TRUMP SAYS `I ASSUME' DENMARK HAS WEIGHED IN POSSIBLE DEAL INVOLVING GREENLAND|Trump mentions that he assumes Denmark may have considered a potential deal related to Greenland.|
2441|TRUMP SAYS PUTIN ACCEPTED TO JOIN THE PEACE BOARD|Trump announced that Putin has accepted a role on the peace board, signaling potential diplomatic engagement.|
2442|🚨 DENMARK FOREIGN MINISTER: TRUMP SAYING HE WON'T USE FORCE IS A GOOD SIGNAL  BUT IS STILL CLEAR THAT TRUMP HAS AN AMBITION WE CAN'T ACCOMMODATE|Denmark's Foreign Minister views Trump's assertion of not using force as a positive indication, though he acknowledges Trump's ambitions remain unaccommodated.|
2443|TRUMP SAYS US TO BE 'INVOLVED' IN GREENLAND MINERAL RIGHTS|Trump indicates that the US will take an active role in the mineral rights of Greenland, hinting at potential geopolitical and economic implications.|
2444|TRUMP SAYS HOPES THERE WILL NOT BE FURTHER ACTION ON IRAN|Trump expresses optimism about avoiding further actions concerning Iran, indicating a potential easing of geopolitical tensions.|
2445|TRUMP: JUST ORDER 25 ADDITIONAL B2 BOMBERS|Trump has announced an order for 25 additional B2 bombers, indicating an increase in military investment.|
2446|TRUMP TELLS CNBC: LIKE KEEPING HASSETT WHERE HE IS|Trump expressed his support for keeping Hassett in his current position during an interview with CNBC.|
2447|TRUMP TELLS CNBC: DOWN TO TWO OR THREE FOR FED  TRUMP TELLS CNBC: PROBABLY DOWN TO ONE IN MY MIND|Trump indicated to CNBC that he has narrowed down his options for the Federal Reserve leadership to two or three candidates, possibly favoring one candidate in his view.|
2448|TRUMP SAYS WANTS A FED CHIEF LIKE GREENSPAN IN 1990S|Trump expresses a desire for a Federal Reserve Chairman akin to Greenspan from the 1990s, indicating a preference for a specific monetary policy approach.|
2449|TRUMP SAYS 'WE'LL SEE HOW IT ALL WORKS OUT' ABOUT POWELL STAYING AT FED AFTER CHAIRMANSHIP TERM ENDS|Former President Trump commented on Jerome Powell's future at the Federal Reserve, stating, 'We'll see how it all works out' as his chairmanship term approaches its end.|
2450|TRUMP: REIDER  WARSH  ALL GOOD FOR NEXT FED CHAIR|Former President Trump supports Reider and Warsh for the next Federal Reserve Chair position.|
2451|TRUMP ON POWELL: IF HE WON’T LEAVE THE FED  HIS LIFE WON’T BE VERY HAPPY|Former President Trump has made a controversial statement about Federal Reserve Chairman Powell, suggesting that his tenure may be threatened if he does not resign from the Fed.|
2452|TRUMP: WILL SELL VENEZUELA OIL AT MARKET PRICE  KEEP SOME|Trump announced plans to sell Venezuela's oil at market price while retaining some for other uses. This move could impact global oil supply dynamics.|Oil
2453|DISCUSSIONS AMONG NATO ALLIES ON THE FRAMEWORK THE PRESIDENT REFERENCED WILL FOCUS ON ENSURING ARCTIC SECURITY THROUGH THE COLLECTIVE EFFORTS OF ALLIES  ESPECIALLY THE SEVEN ARCTIC ALLIES - NATO SPOKESPERSON|NATO allies, particularly the seven Arctic nations, are engaging in discussions to enhance Arctic security through collective efforts, as highlighted by a NATO spokesperson referencing a new framework proposed by the President.|
2454|DENMARK  GREENLAND  AND THE UNITED STATES WILL GO FORWARD AIMED AT ENSURING THAT RUSSIA AND CHINA NEVER GAIN A FOOTHOLD - ECONOMICALLY OR MILITARILY - IN GREENLAND - NATO SPOKESPERSON|Denmark, Greenland, and the United States are collaborating to prevent Russia and China from establishing any economic or military presence in Greenland, according to a NATO spokesperson.|
2455|PUTIN SAYS ISSUE OF U.S. STAND ON GREENLAND OWNERSHIP IS A MATTER OF NO CONCERN TO RUSSIA|Putin downplays the U.S. stance on Greenland ownership, indicating it holds no concern for Russia.|
2456|NASDAQ COMPOSITE RECORDS BIGGEST DAILY PERCENTAGE GAIN SINCE DECEMBER 19|The NASDAQ Composite has achieved its largest daily percentage gain since December 19, signaling a positive shift in market momentum.|
2457|GERMAN FINANCE MINISTER ON TRUMP GREENLAND DEAL: WE HAVE TO WAIT A BIT AND NOT GET OUR HOPES UP TOO SOON|The German Finance Minister commented on the Trump Greenland deal, advising caution and patience before forming expectations.|
2458|*TRUMP GREENLAND DEAL SAID TO INVOLVE SMALL POCKETS OF LAND: NYT|A report indicates that a deal involving Donald Trump concerning Greenland is focused on small portions of land, as per The New York Times.|
2459|*THERANOS FOUNDER ELIZABETH HOLMES ASKS TRUMP FOR PARDON|Elizabeth Holmes, the founder of Theranos, has requested a pardon from former President Trump.|
2460|GREENLAND DEAL FAR FROM DONE  NATO Secretary General Mark Rutte said significant work remains on any Greenland agreement  despite U.S. President Donald Trump announcing a “framework of a future deal.”  “I think it was a very good meeting tonight  but there’s still a lot of work to be done ” Rutte told AFP.|NATO Secretary General Mark Rutte stated that while there is a framework for a future deal concerning Greenland announced by U.S. President Donald Trump, substantial work is still required to finalize the agreement.|
2461|NATO SECRETARY GENERAL RUTTE WHEN ASKED IF GREENLAND WILL REMAIN WITH DENMARK: THAT ISSUE DID NOT COME UP IN MY CONVERSATION WITH TRUMP|NATO Secretary General Rutte commented on Greenland's status with Denmark, noting that he did not discuss the issue in his conversation with Trump.|
2462|LUTNICK: WE REMAIN COMMITTED TO IMPLEMENTING U.S.-EU TRADE AGREEMENT|Lutnick emphasizes the commitment to the U.S.-EU trade agreement, signaling a focus on international trade relations.|
2463|EU PARLIAMENT TRADE COMMITTEE TO REVISIT US TRADE DEAL MONDAY|The EU Parliament's trade committee is set to revisit the trade deal with the US on Monday, indicating potential changes in trade relations.|
2464|COLOMBIA MINING MINISTER SAYS HAS SUSPENDED ELECTRICITY SALES TO ECUADOR|The Colombia Mining Minister has announced the suspension of electricity sales to Ecuador, indicating a significant shift in energy trade between the two countries.|
2465|TRUMP ON GREENLAND: DETAILS BEING NEGOTIATED NOW|Trump is currently involved in negotiations regarding Greenland, indicating potential geopolitical discussions.|
2466|TRUMP ON GREENLAND: WILL BE TOTAL ACCESS  NO TIME LIMIT|Trump indicated that there will be total access to Greenland with no time limit, suggesting potential future investments or interest in the region.|
2467|TRUMP: PIECE OF GOLDEN DOME WILL BE ON GREENLAND|Donald Trump has announced a significant initiative involving a 'piece of golden dome' in Greenland, suggesting potential investment or development in the region.|gold
2468|US MILITARY INVADING GREENLAND WAS NEVER ON THE TABLE: WRIGHT|Wright states that the possibility of a US military invasion of Greenland has never been considered. This comment addresses geopolitical tensions and misunderstandings regarding military strategies.|
2469|**MUSK TO SPEAK AT DAVOS IN SURPRISE SESSION**  Elon Musk will speak at the World Economic Forum in Davos on Thursday in a newly added session  marking his first appearance at the event.  The discussion will be a conversation with BlackRock CEO and interim WEF co-chair Laurence Fink.  The appearance comes as Musk remains in a public dispute with Ryanair CEO Michael O’Leary over Starlink systems and a rejected takeover suggestion.|Elon Musk is set to make a surprise appearance at the World Economic Forum in Davos, engaging in a discussion with BlackRock's CEO, Laurence Fink. This event occurs against the backdrop of Musk's ongoing public dispute with Ryanair's CEO, Michael O’Leary.|BlackRock,Ryanair,Starlink
2470|🚨 TRUMP ON GREENLAND: I'M NOT GOING TO PAY ANYTHING|Trump's firm stance on not paying for Greenland has sparked discussions on international relations and acquisition policies.|
2471|TRUMP: RESTRICTIONS ON DEFENSE COMPANIES IS VERY FREE MARKET|Trump advocates that restrictions on defense companies align with free market principles, suggesting a favorable view of market dynamics in this sector.|defense companies
2472|CHINA  US SIGNED OFF ON TIKTOK US SPINOFF: SEMAFOR|The US and China have reached an agreement on the spinoff of TikTok, according to Semafor.|TikTok
